gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 1,55140377955052      xs: 1,55140377955052
Ranges of Euler angles: 0   0   0   0   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t      0,03078      0,00394      0,02685      0,00000      0,01619      0,54355
 x      0,03078      0,00394      0,02685      0,00000      0,01619      0,54355
 y      0,03078      0,00394      0,02685      0,00000      0,01619      0,54355
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
 t      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
 x      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
 y      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
      Qexts        Qabss        Qscas        Qbaks        Qprs     <cos(theta)>
 t      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
 x      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
 y      0,97987      0,12532      0,85456      0,00000      0,51538      0,54355
    s.a.    i11+i22     pol.       i11          i21          i12          i22
    0,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    1,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    2,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    3,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    4,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    5,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    6,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    7,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    8,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
    9,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   10,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   11,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   12,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   13,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   14,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   15,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   16,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   17,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   18,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   19,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   20,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   21,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   22,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   23,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   24,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   25,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   26,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   27,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   28,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   29,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   30,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   31,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   32,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   33,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   34,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   35,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   36,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   37,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   38,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   39,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
   40,0      0,00000      NaN      0,00000      0,00000      0,00000      0,00000
